accuracy,precision,recall,f1,tp,tn,fp,fn,fnr,fpr,roc_auc,pr_auc,model,seed,attack,poison_rate,time,split_type,effective_contamination,n_injected,threshold,n_features,noise_sigma
0.9682313892840209,0.863827739684831,0.8764799218845356,0.8701078395734885,7181,58163,1132,1012,0.12352007811546442,0.019090985749220003,0.9681474348288264,0.8201344975460756,lof,456,feature_noise,0.1,11.248744249343872,random,0.0,27670,1.7178391352380715,44,0.15
0.94950213371266,0.9650145772594753,0.6060051263273526,0.744489428699955,4965,59115,180,3228,0.3939948736726474,0.0030356691120667846,0.8866418568635102,0.7688139437589504,cluster,42,feature_noise,0.1,1.4391603469848633,random,0.0,27670,2.1769266931987565,44,0.15
0.9524359886201992,0.9473873226791165,0.643964359819358,0.7667490190379306,5276,59002,293,2917,0.356035640180642,0.004941394721308711,0.872575251989262,0.765350038640907,histogram,456,feature_noise,0.1,1.634512186050415,random,0.0,27670,-60.48688239933258,44,0.15
0.9520951872925557,0.9918683062276874,0.6103991212010252,0.7557234605213449,5001,59254,41,3192,0.38960087879897476,0.0006914579644152121,0.9106486014774664,0.7950412775789545,cluster,456,feature_noise,0.1,1.4465811252593994,random,0.0,27670,1.6841444419153278,44,0.15
0.9564218824087245,0.9921289355322339,0.6461613572561943,0.782615123068963,5294,59253,42,2899,0.35383864274380566,0.0007083227928155831,0.9232174622052002,0.8137358006628697,mcd,456,feature_noise,0.1,5.832347393035889,random,0.0,27670,895084072.1827917,44,0.15
0.931560164920831,0.9930827761125202,0.7885101241258101,0.8790513511307045,21535,59126,150,5776,0.21148987587418988,0.0025305351238275185,0.9698427978939967,0.9489475093318219,lstm_ae,42,feature_noise,0.1,105.22216272354126,contiguous_normal,0.0,27670,0.005504920147359371,44,0.15
0.9464349217638691,0.9539865132883776,0.5870865372879287,0.7268605969021534,4810,59063,232,3383,0.4129134627120713,0.003912640188886078,0.8644412956432723,0.7493777062581082,iforest,456,feature_noise,0.1,3.759319305419922,random,0.0,27670,0.06213028211053051,44,0.15
0.9606448553816975,0.9569235847499588,0.7076772854876113,0.813640190850407,5798,59034,261,2395,0.2923227145123886,0.004401720212496837,0.9050649600028455,0.8349166985905357,svm,42,feature_noise,0.1,14.502017736434937,random,0.0,27670,4.42915908973671,44,0.15
0.9749288762446657,0.9312723895449118,0.8567069449530087,0.8924348378893834,7019,58777,518,1174,0.14329305504699133,0.008735981111392191,0.9774504831872143,0.923570572464416,lof,123,feature_noise,0.1,10.923234939575195,random,0.0,27670,2.229549245684587,44,0.15
0.9666014698909435,0.9447356597274225,0.7699255461979739,0.8484196368527236,6308,58926,369,1885,0.23007445380202612,0.006223121679736909,0.9717423079333434,0.9119399604180969,knn,42,feature_noise,0.1,185.63705348968506,random,0.0,27670,0.5049535398995707,44,0.15
0.9314562232205759,0.993444136657433,0.7878876643110835,0.8788058238549346,21518,59134,142,5793,0.21211233568891655,0.0023955732505567175,0.9676779513944975,0.948640432460234,lstm_ae,123,feature_noise,0.1,82.51319646835327,contiguous_normal,0.0,27670,0.006891096010804176,44,0.15
0.9649419155998104,0.9336210745646674,0.7656536067374589,0.8413358369098712,6273,58849,446,1920,0.2343463932625412,0.007521713466565477,0.9722995327322741,0.9150127520714715,knn,456,feature_noise,0.1,169.9805464744568,random,0.0,27670,0.4653143451602341,44,0.15
0.9607633949739213,0.9789255484539644,0.6916880263639692,0.8106136461164354,5667,59173,122,2526,0.30831197363603075,0.0020575090648452653,0.9020390417381037,0.8325818599646229,svm,123,feature_noise,0.1,14.467557191848755,random,0.0,27670,7.789650604375254,44,0.15
0.9532805832147937,0.9543815362423368,0.6460393018430367,0.7705073149428634,5293,59042,253,2900,0.35396069815696324,0.0042668015852938695,0.8724634712973249,0.7681059696599656,histogram,42,feature_noise,0.1,1.6347477436065674,random,0.0,27670,-60.42715520174211,44,0.15
0.9685425557136084,0.9306186152099887,0.8005614549005249,0.8607046781707237,6559,58806,489,1634,0.19943854509947517,0.008246901087781432,0.9808428743995249,0.9291808436645161,abod,456,feature_noise,0.1,157.90954732894897,random,0.0,27670,-6.233091017494031,44,0.15
0.9511616880037933,0.9705938881414569,0.6163798364457463,0.7539564048969841,5050,59142,153,3143,0.38362016355425366,0.002580318745256767,0.8683570656956494,0.7577995876769106,iforest,42,feature_noise,0.1,3.6318295001983643,random,0.0,27670,0.06673869454323922,44,0.15
0.9724099099099099,0.9658572479764532,0.8010496765531552,0.8757672804910596,6563,59063,232,1630,0.19895032344684488,0.003912640188886078,0.9642366739989459,0.9142262457696252,autoencoder,123,feature_noise,0.1,123.61411380767822,random,0.0,27670,0.002068011090159416,44,0.15
0.962171052631579,0.988734835355286,0.696326132063957,0.8171596361813364,5705,59230,65,2488,0.30367386793604295,0.0010962138460241166,0.9010378291810254,0.8266088398642489,pca,123,feature_noise,0.1,1.383208990097046,random,0.0,27670,1584.8278539486769,44,0.15
0.9525989805595069,0.9857976653696499,0.6184547784694251,0.7600690017250431,5067,59222,73,3126,0.3815452215305749,0.001231132473227085,0.8852664542538135,0.7791203849721078,cluster,42,feature_noise,0.1,5.692647457122803,random,,27670,1.6224585832523584,44,0.3
0.9522581792318634,0.9808473592571096,0.6188209447088978,0.7588684328693309,5070,59196,99,3123,0.3811790552911022,0.0016696180116367316,0.8664462402923928,0.7565132731220928,iforest,42,feature_noise,0.1,3.773240804672241,random,,27670,0.052073466331845064,44,0.3
0.9720098387861545,0.9492588369441277,0.8128890516294398,0.8757972253271089,6660,58939,356,1533,0.18711094837056022,0.006003878910532085,0.9619392821509362,0.9099640127264873,autoencoder,456,feature_noise,0.1,124.91022276878357,random,,27670,0.0012977865990251303,44,0.3
0.9697724039829303,0.9710610932475884,0.7740754302453314,0.8614506927465363,6342,59106,189,1851,0.22592456975466862,0.003187452567670124,0.9790941236406412,0.9279586563190497,abod,123,feature_noise,0.1,168.28384613990784,random,,27670,-1.1907146543783518,44,0.3
0.9499466571834992,0.9644993247154158,0.6101550103747101,0.7474581339712919,4999,59111,184,3194,0.3898449896252899,0.003103128425668269,0.8681923006654937,0.7602955463581619,iforest,123,feature_noise,0.1,3.8276326656341553,random,,27670,0.04149974803311707,44,0.3
0.958585229966809,0.9963221772710555,0.6612962284877334,0.7949526813880127,5418,59275,20,2775,0.33870377151226655,0.0003372965680074205,0.9258143905318511,0.8294137680866545,mcd,123,feature_noise,0.1,5.839740037918091,random,,27670,1560836644.496871,44,0.3
0.9534732100521575,0.9576163738453178,0.6453069693640913,0.7710368966020126,5287,59061,234,2906,0.3546930306359087,0.00394636984568682,0.87179276244438,0.7670765590729115,histogram,42,feature_noise,0.1,3.8273768424987793,random,,27670,-59.91406797475904,44,0.3
0.9569997629208156,0.9945784258739951,0.6493347979982912,0.7857037365234086,5320,59266,29,2873,0.35066520200170875,0.0004890800236107598,0.9238192893600172,0.8156343778092913,mcd,456,feature_noise,0.1,5.852851390838623,random,,27670,1207975380.664344,44,0.3
0.9606004030346136,0.9564500164962059,0.7076772854876113,0.8134689582602596,5798,59031,264,2395,0.2923227145123886,0.004452314697697951,0.9048460877534884,0.8339274142170936,svm,42,feature_noise,0.1,12.112138986587524,random,,27670,5.284399193347829,44,0.3
0.972321005215742,0.9654157468727005,0.8006835103136825,0.8753669602348545,6560,59060,235,1633,0.1993164896863176,0.003963234674087191,0.9608842670243088,0.9069958409415463,autoencoder,123,feature_noise,0.1,144.9527132511139,random,,27670,0.002151159569621086,44,0.3
0.9686166429587483,0.9514043691484618,0.7813987550347858,0.8580619219943707,6402,58968,327,1791,0.21860124496521421,0.005514798886921326,0.9806193788858462,0.9295145228505067,abod,456,feature_noise,0.1,158.2012495994568,random,,27670,-2.287074468558343,44,0.3
0.9478129445234709,0.9454510776273126,0.605028683022092,0.7378684132182197,4957,59009,286,3236,0.394971316977908,0.004823340922506114,0.8670624621432924,0.7571845794169373,iforest,456,feature_noise,0.1,3.829766035079956,random,,27670,0.0435381870371393,44,0.3
0.9584815078236131,0.9916104322451212,0.6636152813377273,0.7951155308569757,5437,59249,46,2756,0.33638471866227265,0.0007757821064170672,0.9257884582594007,0.8291463008352274,mcd,42,feature_noise,0.1,5.9730751514434814,random,,27670,753993782.0270661,44,0.3
0.9312252416644531,0.993438077634011,0.7871553586466992,0.8783477354905926,21498,59134,142,5813,0.21284464135330086,0.0023955732505567175,0.9682827574119579,0.9467700801993675,lstm_ae,123,feature_noise,0.1,110.12106370925903,contiguous_normal,,27670,0.006435857154428959,44,0.3
0.9313291833647084,0.9931219129391128,0.7877412031782066,0.8785886388696043,21514,59127,149,5797,0.2122587968217934,0.0025136648896686687,0.9673316912436738,0.9458101444756366,lstm_ae,42,feature_noise,0.1,108.14324831962585,contiguous_normal,,27670,0.005224868189543486,44,0.3
0.931132849042004,0.9934812760055478,0.7868258210977261,0.8781594164402035,21489,59135,141,5822,0.2131741789022738,0.0023787030163978677,0.9711544689464632,0.9491994932334538,lstm_ae,456,feature_noise,0.1,102.52947473526001,contiguous_normal,,27670,0.006759582553058863,44,0.3
0.9660532242769085,0.9413700269219264,0.7682167704137679,0.8460245984273137,6294,58903,392,1899,0.23178322958623215,0.0066110127329454425,0.9709169420375321,0.907945730108995,knn,42,feature_noise,0.1,215.49320220947266,random,,27670,0.5110000190445696,44,0.3
0.9742176386913229,0.9410799726589201,0.8402294641767363,0.8877998452411658,6884,58864,431,1309,0.15977053582326375,0.007268741040559913,0.97270341171691,0.9168505650575953,lof,42,feature_noise,0.1,11.317322015762329,random,,27670,2.3187169697542993,44,0.3
0.9538288288288288,0.9506479673353453,0.6536067374588063,0.7746275133805873,5355,59017,278,2838,0.3463932625411937,0.004688422295303145,0.8726160729842586,0.7698839335041698,histogram,123,feature_noise,0.1,3.76566481590271,random,,27670,-60.48063969852583,44,0.3
0.9534139402560455,0.9900990099009901,0.622482607103625,0.7643884892086331,5100,59244,51,3093,0.377517392896375,0.0008601062484189224,0.8822204147028987,0.7788128013160347,cluster,123,feature_noise,0.1,3.0094480514526367,random,,27670,1.6698335702550162,44,0.3
0.9520951872925557,0.9918683062276874,0.6103991212010252,0.7557234605213449,5001,59254,41,3192,0.38960087879897476,0.0006914579644152121,0.9107024647711014,0.7952176668253007,cluster,456,feature_noise,0.1,2.9593217372894287,random,,27670,1.6834287800399834,44,0.3
0.952510075865339,0.9503430841459011,0.6423776394483095,0.766586555968247,5263,59020,275,2930,0.35762236055169044,0.004637827810102032,0.8714089759277063,0.7641936708680035,histogram,456,feature_noise,0.1,3.7928149700164795,random,,27670,-59.83762868870312,44,0.3
0.9608078473210052,0.9871794871794872,0.6860734773587208,0.8095340966371426,5621,59222,73,2572,0.3139265226412791,0.001231132473227085,0.8998219888852897,0.8213178025419139,pca,456,feature_noise,0.1,1.3716905117034912,random,,27670,1604.032381132926,44,0.3
